id,geo_id,county,county_pop_21,mk_pop,pval_mk,slp_pop,pval_ols,coef_pop,pval_poisson,WUICLASS10_tract,WUIFLAG10_tract,tract_id_num
06001440100,1400000US06001440100,Alameda County,1673133,0.5151514410972595,0.02364218235015869,39.10139860139851,0.004736375624323677,0.015467598226434363,1.479366084049288e-20,High_Dens_Interface,2,6001440100
06001451601,1400000US06001451601,Alameda County,1673133,0.787878692150116,4.7016143798828125e-4,107.46153846153817,2.5780936555974606e-4,0.020974699698200944,6.381385519420198e-72,Med_Dens_Interface,2,6001451601
06001450502,1400000US06001450502,Alameda County,1673133,0.8787877559661865,9.28640365600586e-5,155.96503496503476,7.246013000001007e-6,0.029804459036718665,5.808371220492236e-146,Med_Dens_Interface,2,6001450502
06001450751,1400000US06001450751,Alameda County,1673133,0.9999998807907104,8.3446502685546875e-06,1148.863636363636,4.783418682073711e-9,0.1902398347634961,0,High_Dens_Interface,2,6001450751
06001450752,1400000US06001450752,Alameda County,1673133,0.9696968793869019,1.5616416931152344e-5,328.6153846153844,1.1629055741794164e-5,0.05398863953243034,0,High_Dens_Interface,2,6001450752
06001438203,1400000US06001438203,Alameda County,1673133,-0.1818181574344635,0.4506702423095703,-11.70629370629392,0.5247645383810031,-0.002799931951575734,0.030393222748679716,High_Dens_Interface,2,6001438203
06001443105,1400000US06001443105,Alameda County,1673133,0.24242421984672546,0.30367326736450195,8.965034965034787,0.641137301477394,0.0019471042719316285,0.11412544666973513,High_Dens_Interface,2,6001443105
06001443321,1400000US06001443321,Alameda County,1673133,-0.12121210992336273,0.6312218308448792,2.3811188811187716,0.7727658468084221,7.149263609337271e-4,0.621738371593268,High_Dens_Interface,2,6001443321
06001451504,1400000US06001451504,Alameda County,1673133,0.1679438203573227,0.4918663501739502,4.793706293706237,0.4409237221002591,0.0028689651270465424,0.16080943483703364,High_Dens_Interface,2,6001451504
06001430101,1400000US06001430101,Alameda County,1673133,0.27272725105285645,0.24372220039367676,22.07342657342623,0.08469344214546287,0.003235429146895479,0.0013952103358437602,High_Dens_Interface,2,6001430101
