GEO_ID,NAME,estimate_2020,estimate_2021,estimate_2022,chg_20_21,chg_21_22,chg_20_22,pct_chg_20_21,pct_chg_21_22,pct_chg_20_22,county
1400000US06001407300,"Census Tract 4073, Alameda County, California",2461,2484,2459,23,-25,-2,0.93,-1.01,-0.08,Alameda County
1400000US06001407400,"Census Tract 4074, Alameda County, California",4183,4249,4242,66,-7,59,1.58,-0.16,1.41,Alameda County
1400000US06001407500,"Census Tract 4075, Alameda County, California",4242,4165,3988,-77,-177,-254,-1.82,-4.25,-5.99,Alameda County
1400000US06001407600,"Census Tract 4076, Alameda County, California",5947,6329,6459,382,130,512,6.42,2.05,8.61,Alameda County
1400000US06001407700,"Census Tract 4077, Alameda County, California",4255,4121,4238,-134,117,-17,-3.15,2.84,-0.4,Alameda County
1400000US06001407800,"Census Tract 4078, Alameda County, California",2734,2871,2769,137,-102,35,5.01,-3.55,1.28,Alameda County
1400000US06001407900,"Census Tract 4079, Alameda County, California",2800,2869,3088,69,219,288,2.46,7.63,10.29,Alameda County
1400000US06001408000,"Census Tract 4080, Alameda County, California",2827,2952,2860,125,-92,33,4.42,-3.12,1.17,Alameda County
1400000US06001408100,"Census Tract 4081, Alameda County, California",6795,6982,7313,187,331,518,2.75,4.74,7.62,Alameda County
1400000US06001408200,"Census Tract 4082, Alameda County, California",4588,4983,4471,395,-512,-117,8.61,-10.27,-2.55,Alameda County
1400000US06001408300,"Census Tract 4083, Alameda County, California",4954,5208,4791,254,-417,-163,5.13,-8.01,-3.29,Alameda County
1400000US06001408400,"Census Tract 4084, Alameda County, California",3278,3825,4077,547,252,799,16.69,6.59,24.37,Alameda County
1400000US06001408500,"Census Tract 4085, Alameda County, California",5796,5969,5634,173,-335,-162,2.98,-5.61,-2.8,Alameda County
1400000US06001408600,"Census Tract 4086, Alameda County, California",7159,7471,6519,312,-952,-640,4.36,-12.74,-8.94,Alameda County
1400000US06001408700,"Census Tract 4087, Alameda County, California",7536,7666,7456,130,-210,-80,1.73,-2.74,-1.06,Alameda County
1400000US06001408800,"Census Tract 4088, Alameda County, California",6622,7688,7968,1066,280,1346,16.1,3.64,20.33,Alameda County
1400000US06001408900,"Census Tract 4089, Alameda County, California",3660,3970,3956,310,-14,296,8.47,-0.35,8.09,Alameda County
1400000US06001409000,"Census Tract 4090, Alameda County, California",4756,4690,5039,-66,349,283,-1.39,7.44,5.95,Alameda County
1400000US06001409100,"Census Tract 4091, Alameda County, California",2477,2576,2532,99,-44,55,4,-1.71,2.22,Alameda County
1400000US06001409200,"Census Tract 4092, Alameda County, California",3526,3508,3615,-18,107,89,-0.51,3.05,2.52,Alameda County
1400000US06001409300,"Census Tract 4093, Alameda County, California",5153,5461,5743,308,282,590,5.98,5.16,11.45,Alameda County
1400000US06001409400,"Census Tract 4094, Alameda County, California",5141,5265,4710,124,-555,-431,2.41,-10.54,-8.38,Alameda County
1400000US06001409500,"Census Tract 4095, Alameda County, California",3877,4117,4291,240,174,414,6.19,4.23,10.68,Alameda County
1400000US06001409600,"Census Tract 4096, Alameda County, California",4594,5021,5139,427,118,545,9.29,2.35,11.86,Alameda County
1400000US06001409700,"Census Tract 4097, Alameda County, California",5226,5217,5240,-9,23,14,-0.17,0.44,0.27,Alameda County
1400000US06001409800,"Census Tract 4098, Alameda County, California",3403,3444,3511,41,67,108,1.2,1.95,3.17,Alameda County
1400000US06001409900,"Census Tract 4099, Alameda County, California",3695,3836,3983,141,147,288,3.82,3.83,7.79,Alameda County
1400000US06001410000,"Census Tract 4100, Alameda County, California",3358,3209,3177,-149,-32,-181,-4.44,-1,-5.39,Alameda County
1400000US06001410100,"Census Tract 4101, Alameda County, California",2746,3065,3172,319,107,426,11.62,3.49,15.51,Alameda County
1400000US06001410200,"Census Tract 4102, Alameda County, California",3585,3284,3238,-301,-46,-347,-8.4,-1.4,-9.68,Alameda County
1400000US06001410300,"Census Tract 4103, Alameda County, California",3842,3788,3893,-54,105,51,-1.41,2.77,1.33,Alameda County
1400000US06001410400,"Census Tract 4104, Alameda County, California",4398,4353,4687,-45,334,289,-1.02,7.67,6.57,Alameda County
1400000US06001410500,"Census Tract 4105, Alameda County, California",2547,2853,3081,306,228,534,12.01,7.99,20.97,Alameda County
1400000US06001420100,"Census Tract 4201, Alameda County, California",2528,2598,2631,70,33,103,2.77,1.27,4.07,Alameda County
1400000US06001420200,"Census Tract 4202, Alameda County, California",3326,3275,3275,-51,0,-51,-1.53,0,-1.53,Alameda County
1400000US06001420301,"Census Tract 4203.01, Alameda County, California",2738,2730,2645,-8,-85,-93,-0.29,-3.11,-3.4,Alameda County
1400000US06001420302,"Census Tract 4203.02, Alameda County, California",2561,2493,2446,-68,-47,-115,-2.66,-1.89,-4.49,Alameda County
1400000US06001420401,"Census Tract 4204.01, Alameda County, California",1180,1130,1333,-50,203,153,-4.24,17.96,12.97,Alameda County
1400000US06001420402,"Census Tract 4204.02, Alameda County, California",1772,1746,1661,-26,-85,-111,-1.47,-4.87,-6.26,Alameda County
1400000US06001420500,"Census Tract 4205, Alameda County, California",2518,2429,2548,-89,119,30,-3.53,4.9,1.19,Alameda County
1400000US06001420600,"Census Tract 4206, Alameda County, California",3522,3557,3488,35,-69,-34,0.99,-1.94,-0.97,Alameda County
