id,geo_id,county,mk_pop,pval_mk,slp_pop,pval_ols,coef_pop,pval_poisson,WUICLASS10_tract,WUIFLAG10_tract,NAME,estimate_2020,estimate_2021,estimate_2022,chg_20_21,chg_21_22,chg_20_22,pct_chg_20_21,pct_chg_21_22,pct_chg_20_22,tract_cnt
06073009802,1400000US06073009802,San Diego County,0.5151514410972595,0.02364218235015869,52.601398601398685,0.05044284337289189,0.00824501078535043,3.436952143943169e-15,High_Dens_Interface,2,"Census Tract 98.02, San Diego County, California",6673,6588,6935,-85,347,262,-1.27,5.27,3.93,737
06073020013,1400000US06073020013,San Diego County,0.7333333492279053,0.00420749187469482,278.0545454545452,6.273723152980265e-5,0.02072744427950898,2.906387709741985e-105,High_Dens_Interface,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737
06073018801,1400000US06073018801,San Diego County,-0.45454540848731995,0.04674494639039039,-14.461538461538629,0.16981460336984097,-0.00374939197896454,0.00536169636753758,Med_Dens_Interface,2,"Census Tract 188.01, San Diego County, California",3868,3766,3685,-102,-81,-183,-2.64,-2.15,-4.73,737
06073013906,1400000US06073013906,San Diego County,0.333333283662796,0.14986073970794678,58.95454545454535,0.00585162859245705,0.01177386186037043,2.2904348745143953e-23,Med_Dens_Interface,2,"Census Tract 139.06, San Diego County, California",5137,5060,5181,-77,121,44,-1.5,2.39,0.86,737
06059042331,1400000US06059042331,Orange County,0.8484847545623779,1.6224384307861328e-4,124.03496503496484,1.5177871051731066e-7,0.02213446927311586,3.581030835154928e-87,Med_Dens_Interface,2,"Census Tract 423.31, Orange County, California",6259,6141,5824,-118,-317,-435,-1.89,-5.16,-6.95,614
06059042332,1400000US06059042332,Orange County,0.10687334090471268,0.6800417900085449,1.3041958041954296,0.9325395251301052,2.4178269185708037e-4,0.8318340971085825,High_Dens_Interface,2,"Census Tract 423.32, Orange County, California",5552,5448,5645,-104,197,93,-1.87,3.62,1.68,614
06073008333,1400000US06073008333,San Diego County,1,8.308887481689453e-5,437.2969696969695,1.222506561924347e-7,0.03021431255922422,2.5666626138882262e-238,High_Dens_Interface,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737
06059032034,1400000US06059032034,Orange County,-0.8484847545623779,1.6227562446147203e-4,-90.52447552447562,1.5127202067579895e-4,-0.01561327147500534,8.137062474352413e-46,High_Dens_Interface,2,"Census Tract 320.34, Orange County, California",5156,5088,5229,-68,141,73,-1.32,2.77,1.42,614
06073010005,1400000US06073010005,San Diego County,0.27272725105285645,0.24372220039367676,44.26573426573397,0.21477528528285675,0.00576961511781628,1.5143275057660255e-9,High_Dens_Interface,2,"Census Tract 100.05, San Diego County, California",7717,7201,6951,-516,-250,-766,-6.69,-3.47,-9.93,737
06073015602,1400000US06073015602,San Diego County,-0.12121210992336272,0.6312218308448792,-10.517482517482582,0.5474719389147015,-0.0041433597982015,0.012552406872597,Med_Dens_Interface,2,"Census Tract 156.02, San Diego County, California",2665,2804,2802,139,-2,137,5.22,-0.07,5.14,737
06073019103,1400000US06073019103,San Diego County,-0.333333283662796,0.14986075460910797,-34.46853146853162,0.08770963702759979,-0.00595602482210376,6.034738387230725e-8,Low_Dens_Intermix,1,"Census Tract 191.03, San Diego County, California",5633,5876,6131,243,255,498,4.31,4.34,8.84,737
06073014804,1400000US06073014804,San Diego County,0.06060605496168136,0.837011456489563,13.839160839160767,0.6064716862423464,0.00333068032232257,0.01024909135342492,High_Dens_Interface,2,"Census Tract 148.04, San Diego County, California",4591,4585,4627,-6,42,36,-0.13,0.92,0.78,737
06073015000,1400000US06073015000,San Diego County,0.7777777910232544,0.00235748291015625,112.12727272727298,5.621969375396196e-4,0.01684573824607992,9.930977775794546e-36,High_Dens_Interface,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737
06059062645,1400000US06059062645,Orange County,-0.393939346075058,0.08647114783525467,-27.017482517482684,0.08922887816194969,-0.0040769923085718,7.228048606304949e-5,Med_Dens_Interface,2,"Census Tract 626.45, Orange County, California",6266,6445,6124,179,-321,-142,2.86,-4.98,-2.27,614
06059062639,1400000US06059062639,Orange County,0.6060605645179749,0.00748789310455322,92.34265734265718,0.00418846590244744,0.01219375637453907,7.184027185497341e-37,High_Dens_Interface,2,"Census Tract 626.39, Orange County, California",7994,8344,8181,350,-163,187,4.38,-1.95,2.34,614
06073013311,1400000US06073013311,San Diego County,0.5555555820465088,0.03182315826416015,206.40606060606052,7.609950812435122e-4,0.01968084273347161,9.107778072348352e-75,High_Dens_Interface,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737
06073013312,1400000US06073013312,San Diego County,-0.484848439693451,0.03352417424321174,-36.248251748251896,0.02650854075636945,-0.0125492297275066,7.491634105740212e-16,High_Dens_Interface,2,"Census Tract 133.12, San Diego County, California",2779,2868,2821,89,-47,42,3.2,-1.64,1.51,737
06059042311,1400000US06059042311,Orange County,0.12121210992336272,0.6312217712402344,42.13286713286699,0.2265604572996592,0.00706340955198552,6.900843056145315e-11,High_Dens_Interface,2,"Census Tract 423.11, Orange County, California",6536,6837,6718,301,-119,182,4.61,-1.74,2.78,614
06059042329,1400000US06059042329,Orange County,0.06060605496168136,0.837011456489563,-1.5559440559441975,0.8801399066832343,-3.947511723845038e-4,0.7669515261734267,Med_Dens_Interface,2,"Census Tract 423.29, Orange County, California",3971,3704,3714,-267,10,-257,-6.72,0.27,-6.47,614
06059052422,1400000US06059052422,Orange County,0.8484847545623779,1.6224384307861328e-4,642.3636363636363,4.861206355985861e-4,0.107314327622899,0,High_Dens_Interface,2,"Census Tract 524.22, Orange County, California",10693,11632,11631,939,-1,938,8.78,-0.01,8.77,614
06059052404,1400000US06059052404,Orange County,0.1111111119389534,0.7205147743225098,176.8303030303031,0.1317245368539259,0.1468153155060562,0,Low_Dens_Intermix,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614
06059032033,1400000US06059032033,Orange County,0.5454545021057129,0.01639330387115478,49.51048951048946,0.00165543142833736,0.01369574058894216,7.373234912107697e-23,High_Dens_Interface,2,"Census Tract 320.33, Orange County, California",3774,3860,3885,86,25,111,2.28,0.65,2.94,614
06059062621,1400000US06059062621,Orange County,0.6888889074325562,0.00729036331176757,874.1333333333332,5.02071851168063e-4,0.12071752087669067,0,High_Dens_Interface,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614
06059042201,1400000US06059042201,Orange County,-0.5757575035095215,0.0111748119816184,-71.00699300699313,0.00601837110196025,-0.01328047352912047,3.772882959118232e-31,High_Dens_Interface,2,"Census Tract 422.01, Orange County, California",5014,5148,5813,134,665,799,2.67,12.92,15.94,614
06059021917,1400000US06059021917,Orange County,-0.333333283662796,0.14986075460910797,-20.930069930070115,0.10451450439568928,-0.0066402559264069,8.288842476791154e-6,Med_Dens_Interface,2,"Census Tract 219.17, Orange County, California",3020,2939,3012,-81,73,-8,-2.68,2.48,-0.26,614
06073008366,1400000US06073008366,San Diego County,0.5454545021057129,0.01639330387115478,121.90559440559429,7.525517363936185e-4,0.01861931127375605,1.9111851239467152e-72,High_Dens_Interface,2,"Census Tract 83.66, San Diego County, California",7239,7030,6716,-209,-314,-523,-2.89,-4.47,-7.22,737
06059052419,1400000US06059052419,Orange County,0.12121210992336272,0.6312217712402344,5.003496503496462,0.4710417916887893,0.00145026118274691,0.30836833460996593,High_Dens_Interface,2,"Census Tract 524.19, Orange County, California",3508,3373,3252,-135,-121,-256,-3.85,-3.59,-7.3,614
06059032049,1400000US06059032049,Orange County,0.666666567325592,0.00319194793701171,98.1538461538459,0.00163775287682814,0.01022055193701382,4.846506814900531e-33,High_Dens_Interface,2,"Census Tract 320.49, Orange County, California",10408,10447,10463,39,16,55,0.37,0.15,0.53,614
06059032053,1400000US06059032053,Orange County,0.484848439693451,0.03352415561676025,53.20629370629324,0.0041980495395432,0.00642387093404279,2.7402200950171123e-12,High_Dens_Interface,2,"Census Tract 320.53, Orange County, California",8606,8805,8958,199,153,352,2.31,1.74,4.09,614
06059042317,1400000US06059042317,Orange County,0.03030302748084068,0.9453299045562744,2.835664335664357,0.692038483809857,8.819894766435299e-4,0.5498168346824444,Med_Dens_Interface,2,"Census Tract 423.17, Orange County, California",3281,3254,3253,-27,-1,-28,-0.82,-0.03,-0.85,614
06037190301,1400000US06037190301,Los Angeles County,0.6888889074325562,0.00729036331176757,152.32121212121217,6.567915245652567e-5,0.03013052157742453,4.398917862299509e-84,High_Dens_Interface,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2498
06037190510,1400000US06037190510,Los Angeles County,-0.24242421984672544,0.30367323756217957,-44.81118881118907,0.2483794491910907,-0.01023618191143666,5.636419840141239e-16,High_Dens_Interface,2,"Census Tract 1905.10, Los Angeles County, California",3815,3710,3974,-105,264,159,-2.75,7.12,4.17,2498
06037190520,1400000US06037190520,Los Angeles County,0.24242421984672544,0.30367326736450195,13.367132867132684,0.2052156249582078,0.00344797633225766,0.01025284857697621,High_Dens_Interface,2,"Census Tract 1905.20, Los Angeles County, California",4144,3864,3617,-280,-247,-527,-6.76,-6.39,-12.72,2498
06085511800,1400000US06085511800,Santa Clara County,0.24242421984672544,0.30367326736450195,17.43356643356632,0.35467952900190425,0.0039608240926358,0.00167667871772362,Med_Dens_Interface,1,"Census Tract 5118, Santa Clara County, California",4360,4369,4538,9,169,178,0.21,3.87,4.08,408
06085512305,1400000US06085512305,Santa Clara County,0.8181817531585693,2.7871131896972656e-4,137.31118881118869,1.5252241281535735e-5,0.03259396830216467,1.7196097565857756e-140,Med_Dens_Interface,2,"Census Tract 5123.05, Santa Clara County, California",4555,4646,4658,91,12,103,2,0.26,2.26,408
06085511914,1400000US06085511914,Santa Clara County,0.06060605496168136,0.837011456489563,33.03496503496493,0.06924971558047813,0.00557939374726661,2.8436291847771e-7,High_Dens_Interface,2,"Census Tract 5119.14, Santa Clara County, California",6393,6353,6327,-40,-26,-66,-0.63,-0.41,-1.03,408
06085507302,1400000US06085507302,Santa Clara County,0.45454540848731995,0.0467449426651001,46.552447552447546,0.04056137874194675,0.01694709846230437,2.559988836277668e-26,Med_Dens_Interface,2,"Census Tract 5073.02, Santa Clara County, California",2846,2556,2640,-290,84,-206,-10.19,3.29,-7.24,408
06085504307,1400000US06085504307,Santa Clara County,-0.363636314868927,0.114756740629673,-28.08391608391635,0.11012521311722352,-0.00490634422855547,9.05260694364223e-6,High_Dens_Interface,2,"Census Tract 5043.07, Santa Clara County, California",5840,5864,5740,24,-124,-100,0.41,-2.11,-1.71,408
06085507500,1400000US06085507500,Santa Clara County,0.363636314868927,0.11475670337677002,13.339160839160732,0.07745871720585217,0.00228984991628887,0.03662471946797833,Med_Dens_Interface,2,"Census Tract 5075, Santa Clara County, California",5856,5979,5747,123,-232,-109,2.1,-3.88,-1.86,408
06085512200,1400000US06085512200,Santa Clara County,-0.24242421984672544,0.30367323756217957,-26.975524475524555,0.3034409028821421,-0.00630759700674848,8.129378779832564e-7,Med_Dens_Interface,2,"Census Tract 5122, Santa Clara County, California",3837,4622,4905,785,283,1068,20.46,6.12,27.83,408
06085507203,1400000US06085507203,Santa Clara County,0.5757575035095215,0.01117479801177978,65.48601398601389,0.00328925689352155,0.02246752682022548,1.454664065748193e-47,Med_Dens_Interface,2,"Census Tract 5072.03, Santa Clara County, California",3062,3391,3192,329,-199,130,10.74,-5.87,4.25,408
06085503802,1400000US06085503802,Santa Clara County,0.393939346075058,0.08647119998931885,37.297202797202566,0.19671180299131188,0.00450793555393913,9.431982251824824e-7,High_Dens_Interface,2,"Census Tract 5038.02, Santa Clara County, California",8141,8061,7937,-80,-124,-204,-0.98,-1.54,-2.51,408
06085512602,1400000US06085512602,Santa Clara County,-0.333333283662796,0.14986075460910797,-32.86713286713295,0.04393490499557478,-0.01214137369614179,4.3054457641603176e-14,Low_Dens_Interface,2,"Census Tract 5126.02, Santa Clara County, California",2696,2748,2838,52,90,142,1.93,3.28,5.27,408
06085507703,1400000US06085507703,Santa Clara County,0.8666666746139526,6.767511367797852e-4,148.1212121212121,2.2075723021172e-4,0.01913258205935085,1.0218347728136446e-52,High_Dens_Interface,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408
06085512402,1400000US06085512402,Santa Clara County,0.1818181574344635,0.4506702423095703,11.87062937062918,0.5108737202326279,0.00228127002182472,0.04908747143166957,Med_Dens_Interface,2,"Census Tract 5124.02, Santa Clara County, California",5344,5601,5246,257,-355,-98,4.81,-6.34,-1.83,408
06085507001,1400000US06085507001,Santa Clara County,-0.04494665563106537,0.9284440279006958,-0.03030303030291008,0.9984303663498272,-4.356825773846264e-6,0.997366736153194,Med_Dens_Interface,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408
